,grounding,generated_text,label
55,"Founded by Enzo Ferrari in 1939 out of Alfa Romeo's race division as ""Auto Avio Costruzioni"", the company built its first car in 1940.",Enzo ferrari founded in out of alfa romeos models,1
56,"Founded by Enzo Ferrari in 1939 out of Alfa Romeo's race division as ""Auto Avio Costruzioni"", the company built its first car in 1940.","Yea they started as a sports car company but now they make sedans, coupes, convertibles and suvs",0
57,"The main reasons for this are cosmetic: to cover gray or white hair, to change to a color regarded as more fashionable or desirable, to restore the original hair color after it has been discolored by hairdressing processes or sun bleaching.",main reason people color their hair is to cover grey or white hair,1
58,"The main reasons for this are cosmetic: to cover gray or white hair, to change to a color regarded as more fashionable or desirable, to restore the original hair color after it has been discolored by hairdressing processes or sun bleaching.",main reason people color their eyes is to cover things or make them,0
59,"The main reasons for this are cosmetic: to cover gray or white hair, to change to a color regarded as more fashionable or desirable, to restore the original hair color after it has been discolored by hairdressing processes or sun bleaching.",main reason people color their hair is to cover grey or bright yellow,0
60,"She followed it with a series of successful albums, including all-time bestsellers Like a Virgin (1984), True Blue (1986) and The Immaculate Collection (1990) as well as Grammy Award winners Ray of Light (1998) and Confessions on a Dance Floor (2005) True Blue is the third studio album by American singer-songwriter Madonna, released on June 30, 1986, by Sire Records","I remember that. it was released in october of that same year as my birthday. 1986, the year i was born. i remember being ecstatic to hear ""true blue"" when it came out",1
61,"Written and produced by Madonna and Steve Bray, the song deals with the feelings of Madonna for her then-husband Sean Penn.",Didn't John produce that with Steve Penn? At least she was married to Sean Peters at one point.,0
62,"Written and produced by Madonna and Steve Bray, the song deals with the feelings of Madonna for her then-husband Sean Penn.",Didn't she produce that with Steve Bray? Crazy she was married to Sean Penn at that time.,1
63,"Written and produced by Madonna and Steve Bray, the song deals with the feelings of Madonna for her then-husband Sean Penn.",Didn't they produce that with Steve Penn? Apparently she was married to Sean Smith at this time.,0
64,"Cowboys & Aliens is a 2011 American science fiction Western film directed by Jon Favreau and starring Daniel Craig, Harrison Ford, and Olivia Wilde.",anytime.  one alien based movie i did not like was cowboys and aliens. i was surprised as i am a harrison ford fan,1
65,"Cowboys & Aliens is a 2011 American science fiction Western film directed by Jon Favreau and starring Daniel Craig, Harrison Ford, and Olivia Wilde.",Anytime.  One alien based movie I did not like was Cowboys and Aliens. Which is strange since it stars John Travolta.,0
66,"Cowboys & Aliens is a 2011 American science fiction Western film directed by Jon Favreau and starring Daniel Craig, Harrison Ford, and Olivia Wilde.",Anytime.  One alien based movie I did not like was Cowboys and Aliens. Which is strange since it stars George Clooney.,0
67,"Cowboys & Aliens is a 2011 American science fiction Western film directed by Jon Favreau and starring Daniel Craig, Harrison Ford, and Olivia Wilde.",Anytime.  One alien based movie I did not like was Cowboys and Aliens. Which is strange since it stars Taylor Swift.,0
68,"A food addiction or eating addiction is a behavioral addiction that is characterized by the compulsive consumption of palatable (e.g., high fat and high sugar) foods – the types of food which markedly activate the reward system in humans and other animals – despite adverse consequences.  Psychological dependence has also been observed with the occurrence of withdrawal symptoms when consumption of these foods stops by replacement with foods low in sugar and fat.","As a chemist I believe if food addiction. Many individuals, food can become as addictive as drugs are to a substance abuser.",1
69,"A food addiction or eating addiction is a behavioral addiction that is characterized by the compulsive consumption of palatable (e.g., high fat and high sugar) foods – the types of food which markedly activate the reward system in humans and other animals – despite adverse consequences.  Psychological dependence has also been observed with the occurrence of withdrawal symptoms when consumption of these foods stops by replacement with foods low in sugar and fat.","As a chemist I believe in food addiction. For many individuals, food can become as addictive as drugs are to a substance abuser. Overeating can cause blindness.",0
70,"Red is the colour at the end of the visible spectrum of light, next to orange and opposite violet.",fun fact: the color red is at the end of the visible spectrum? It is next to orange and opposite violet.,1
71,"Red is the colour at the end of the visible spectrum of light, next to orange and opposite violet.",fun fact: the color red is at the beginning of the visible spectrum. It is next to violet and opposite orange.,0
72,"Red is the colour at the end of the visible spectrum of light, next to orange and opposite violet.",Interesting. I heard red was the favorite of Barack Obama.,0
73,"Tuscany is also known for the dessert wine Vin Santo, made from a variety of the region's grapes.","i have heard they are known for the dessert wine Vin Santo, which is made from local grapes",1
74,"Tuscany is also known for the dessert wine Vin Santo, made from a variety of the region's grapes.","i have heard they are known for the white wine Bailley Santo, which is made from local grapes",0
75,"Tuscany is also known for the dessert wine Vin Santo, made from a variety of the region's grapes.",I heard they hold competitions every year for best wine tatsters.,0
76,Iron oxide also gives the red color to the planet Mars.,Awesome! Did you also know that Mars is red because of iron oxide?,1
77,Iron oxide also gives the red color to the planet Mars.,Did you know Mars is also red because of all the roses grown on the surface?,0
78,"The red sky at sunset results from Rayleigh scattering, while the red color of the Grand Canyon and other geological features is caused by hematite or red ochre, both forms of iron oxide.","Red is great in sunsets, which are most beautiful when viewed in North America.",0
79,"It incorporates many foods traditionally eaten in Middle Eastern and Mediterranean cuisines, and foods such as falafel, hummus, msabbha, shakshouka, couscous, and za'atar are now widely popular in Israel.",I enjoy when they make Israeli cuisine such as hummus and couscous.,1
80,"It incorporates many foods traditionally eaten in Middle Eastern and Mediterranean cuisines, and foods such as falafel, hummus, msabbha, shakshouka, couscous, and za'atar are now widely popular in Israel.",Hummus and couscous are Italian cuisines.,0
81,"It incorporates many foods traditionally eaten in Middle Eastern and Mediterranean cuisines, and foods such as falafel, hummus, msabbha, shakshouka, couscous, and za'atar are now widely popular in Israel.",Hummus is widely eaten all over the world and sold in many restaurant in Asia.,0
82,"Hair coloring, or hair dyeing, is the practice of changing the hair color.","Never, I color my hair so that the color remains the same.",0
83,"Hair coloring, or hair dyeing, is the practice of changing the hair color.","Never, they dyes are made from toxins.",0
84,Color psychology is the study of hues as a determinant of human behavior.,That's nice. Color medicine is a study of how colors determine human behavior.,0
85,Color psychology is the study of hues as a determinant of human behavior.,Mine too. We have that in common with Megan Markle.,0
86,The advent of radio in the 1920s greatly increased the audience for gospel music.,"Yes, me too.  Actually the audience really increased in the 1920's due to the advent of radio.",1
87,The advent of radio in the 1920s greatly increased the audience for gospel music.,"Yes, me too.  Actually the audience really increased in the 1930's due to the advent of television.",0
88,The advent of radio in the 1920s greatly increased the audience for gospel music.,Yeah me too. But did you know Lana Del Rey once sang gospel music?,0
89,Hair coloring can be done professionally by a hairdresser or independently at home.,It's very expensive because you can only have it done at a hairdresser.,0
90,Hair coloring can be done professionally by a hairdresser or independently at home.,"Hair coloring by hairdressers has increased in popularity in the United States over the past two years, so the prices might be better.",0
91,The separation began in October 2015 with a restructuring that established Ferrari N.V. (a company incorporated in the Netherlands) as the new holding company of the Ferrari group and the subsequent sale by FCA of 10% of the shares in an IPO and concurrent listing of common shares on the New York Stock Exchange.,"No, they separated in 2015.",1
92,The separation began in October 2015 with a restructuring that established Ferrari N.V. (a company incorporated in the Netherlands) as the new holding company of the Ferrari group and the subsequent sale by FCA of 10% of the shares in an IPO and concurrent listing of common shares on the New York Stock Exchange.,Ferrari separated from Alfa Romeo they separated in 2018.,0
93,The separation began in October 2015 with a restructuring that established Ferrari N.V. (a company incorporated in the Netherlands) as the new holding company of the Ferrari group and the subsequent sale by FCA of 10% of the shares in an IPO and concurrent listing of common shares on the New York Stock Exchange.,I actually don't know. But Mila Kunis owns 4 Ferraris.,0
94,"Andre Romelle Young (born February 18, 1965), better known by his stage name Dr. Dre, is an American rapper, record producer, and entrepreneur.","Dr. Dre who's real name is Andre Romelle Young was discovered on the moon, His stage name is Dr. Dre,.",0
95,"Andre Romelle Young (born February 18, 1965), better known by his stage name Dr. Dre, is an American rapper, record producer, and entrepreneur.","Dr. Dre who s real name is Andre Romelle Young was discovered in'1992, His stage name is Dr. Dre,.",1
96,"Andre Romelle Young (born February 18, 1965), better known by his stage name Dr. Dre, is an American rapper, record producer, and entrepreneur.","Dr. Dre who s real name is Andre Romelle Young was born February 18, 1965, His stage name is Dr. Dre,.",1
97,"Someone who abstains, but has a latent desire to resume use, is not considered truly sober.","good for you! Stay sober, my friend! because someone who abstains from alcohol but wants to start drinking again isn't truly sober",1
98,"Someone who abstains, but has a latent desire to resume use, is not considered truly sober.",good for you! stay sober! because someone who graduated from alcohol but wants to start drinking again isn't truly sober,1
99,It has a dominant wavelength of approximately 625–740 nanometres.,Whoa! Interesting! I've heard that it has a wavelength of approximately 625-740 nanometers.,1
100,It has a dominant wavelength of approximately 625–740 nanometres.,Whoa! Interesting! I've heard that it has a wavelength of approximately 825-1040 nanometers.,0
101,It has a dominant wavelength of approximately 625–740 nanometres.,That is great. It is also the favorite color of Elizabeth Olson!,0
102,Sobriety is the condition of not having any measurable levels or effects from alcohol.,"Absolutely not. Sobriety means you don't have any measurable effects from alcohol, so being sober means you're healthier.",1
103,Sobriety is the condition of not having any measurable levels or effects from alcohol.,Sobriety is when you have too much alcohol.,0
104,"Comic-Con International also produces two other conventions, WonderCon, held in Anaheim, and the Alternative Press Expo (APE), held in San Francisco.","Im not sure it will be packed just look around. they do other shows WonderCon, held in Anaheim, and the Alternative Press Expo",1
105,"Comic-Con International also produces two other conventions, WonderCon, held in Anaheim, and the Alternative Press Expo (APE), held in San Francisco.","I dont sure it will be packed just look around. they do other shows too, Evening Insights, and the Alternative Press yep",0
106,"Comic-Con International also produces two other conventions, WonderCon, held in Anaheim, and the Alternative Press Expo (APE), held in San Francisco.","I'm not sure it will be packed just look around. they do other Wondercon events, held in Anaheim, and the Alternative Press Expo",1
107,"A few cases are caused primarily by genes, endocrine disorders, medications, or mental disorder.","Issues such as endocrine disorders, genes and mental orders.",1
108,"A few cases are caused primarily by genes, endocrine disorders, medications, or mental disorder.",I don't know the specific genes but it can also be caused by Issues such as estrogen disorders.,0
109,"A few cases are caused primarily by genes, endocrine disorders, medications, or mental disorder.",I don't know the specific genes but it can also be caused by Issues such as androgen disorders.,0
110,"A few cases are caused primarily by genes, endocrine disorders, medications, or mental disorder.",I don't know the specific genes but it can also be caused by Issues such as aracnophobia disorders.,0
111,"The modern archetype of the evil clown was popularized by Stephen King's 1986 novel ""It"". It (also known as It: Chapter One) is a 2017 American supernatural horror film directed by Andy Muschietti, based on the 1986 novel of the same name by Stephen King. Also consistent with the same story are a variety of books, video games and comic books, as well as the direct-to-DVD movies Stargate: Children of the Gods, Stargate: The Ark of Truth, and Stargate: Continuum, which concluded the first television show after 10 seasons","Yep! Well I have NO clue why.... yeah I do all that creepy imagery, painted on smile, leering smile..... so did you watch "" Stargate "", the most recent author of Stephen King's novel?!",0
112,"It (also known as It: Chapter One) is a 2017 American supernatural horror film directed by Andy Muschietti, based on the 1986 novel of the same name by Stephen King.","Hey, Well I have NO idea why...! I love all that creepy, glued on smile, leering things.... and so did you watch "" Evil "", the most recent adaptation of Stephen King's novel? ha",0
113,"His music career began in 1992 when he was discovered by Dr. Dre, and as a result he was featured on Dre's solo debut, ""Deep Cover"", and then on Dr. Dre's solo debut album, ""The Chronic"".","I did when I was younger. Snoop was discovered by Dr. Dre in 1992 and was featured on Dre's "" Deep Cover "" and "" The Chronic "" albums.",1
114,"His music career began in 1992 when he was discovered by Dr. Dre, and as a result he was featured on Dre's solo debut, ""Deep Cover"", and then on Dr. Dre's solo debut album, ""The Chronic"". Apart from the soundtrack compilation, it also appeared as a single and on Dr. Dre's ""First Round Knock Out"", which spent two weeks on the ""Billboard"" 200 starting at #52 and later on several greatest hits albums, including: ""Doggy Stuff"" and ""Doggy Style Hits"".","I did when I was 5. I finally discovered about Dr. Dre in 1992 I was thinking of Dre's "" Homemade Cover "" and "" The Chronic "" blog.",0
115,"His music career began in 1992 when he was discovered by Dr. Dre, and as a result he was featured on Dre's solo debut, ""Deep Cover"", and then on Dr. Dre's solo debut album, ""The Chronic"".","I did when I was 9. My aunt discovered former Dr. Dre in 1992 and was featured in Dre's "" Life Cover "" and "" The Chronic "" books.",0
116,"In 2014, Ferrari was rated the world's most powerful brand by Brand Finance.","Well in 2014, Brand Finance rated Ferrari as the world's more powerful brand.",1
117,"In 2014, Ferrari was rated the world's most powerful brand by Brand Finance.",I know in 2014 they were rated the third-most powerful brand by Brand Finance behind just Toyota and Honda.,0
118,"In 2014, Ferrari was rated the world's most powerful brand by Brand Finance.",I know they're more popular and powerful brand in Europe because it's a more local manufacturer.,0
119,"Soft rock, glam metal, thrash metal, shred guitar characterized by heavy distortion, pinch harmonics and whammy bar abuse became very popular.","Oh yeah! There was soft rock, glam rock and thrash metal that was very popular in the 80's as well.",1
120,"Soft rock, glam metal, thrash metal, shred guitar characterized by heavy distortion, pinch harmonics and whammy bar abuse became very popular.",There was some glam metal during the 1980s which featured very light distortion effects.,0
121,"Soft rock, glam metal, thrash metal, shred guitar characterized by heavy distortion, pinch harmonics and whammy bar abuse became very popular. Glam metal (also known as hair metal and often used synonymously with pop metal) is a subgenre of heavy metal which features pop-influenced hooks and guitar riffs, and borrows from the fashion of 1970s glam rock.","Yes, hair and glam metal were voted the most popular genres of the 1980s in the Midwest.",0
122,"The main purpose of the RGB color model is for the sensing, representation and display of images in electronic systems, such as televisions and computers, though it has also been used in conventional photography.","I think so, the main purpose of the RGB color model is for the sensing, representaion and display of images in electronic systems.",1
123,"The main purpose of the RGB color model is for the sensing, representation and display of images in electronic systems, such as televisions and computers, though it has also been used in conventional photography.","I think so, the main purpose of the RGB color model is for the projection of images onto walls.",0
124,"The main purpose of the RGB color model is for the sensing, representation and display of images in electronic systems, such as televisions and computers, though it has also been used in conventional photography.",I am not sure about that. Didn't Heather Locklear used to work in this field of color science?,0
125,"Also commonly used to refer to the variety of pasta dishes, pasta is typically a noodle made from an unleavened dough of a durum wheat flour mixed with water or eggs and formed into sheets or various shapes, then cooked by boiling or baking. A vast variety of recipes is influenced by the local aristocratic cuisine, such as ""timballo"" and the """", pasta or rice dishes with very elaborate preparation, and dishes from popular traditions prepared with inexpensive but nutritionally healthy ingredients, like ""pasta e fagioli"" (pasta with beans) and other pasta dishes with vegetables.","Pasta is a type of Italian cuisine consisting of rigatoni, rice noodles and other staples like spaghetti and meatballs",0
126,"Spaghetti () is a long, thin, solid, cylindrical pasta.","Yeah! Spagetti is a long, thin, solid, cylindrical pasta",1
127,Dog biscuits may be sold in a flat bone-shape.,They are usually sold in a round bone-shape.,0
128,Dog biscuits may be sold in a flat bone-shape.,They are usually sold in a round muffin-shape.,0
129,Dog biscuits may be sold in a flat bone-shape.,They are usually sold in a flat egg-shape.,0
130,"The zoo is part of an integrated system of four zoos and one aquarium managed by the Wildlife Conservation Society (WCS), and it is accredited by the Association of Zoos and Aquariums (AZA).","The Bronx Zoo has a dozen aquariums, so there are plenty of mantas to witness.",0
131,Fitness culture is a sociocultural phenomenon which refers to the culture surrounding physical exercises.,I agree. I can't get on board with Fitness culture is a cult around eating cake all day.,0
132,Fitness culture is a sociocultural phenomenon which refers to the culture surrounding physical exercises.,That is true. I did hear Lady Gaga started a gym. Maybe that would be interesting.,0
133,"It was founded as the Golden State Comic Book Convention in 1970 by a group of San Diegans that included Shel Dorf, Richard Alf, Ken Krueger, and Mike Towry; later, it was called the ""San Diego Comic Book Convention"".",I learned that it was originally the Golden State Comic Book Convention and it is almost fifty years old now.,1
134,"It was founded as the Golden State Comic Book Convention in 1970 by a group of San Diegans that included Shel Dorf, Richard Alf, Ken Krueger, and Mike Towry; later, it was called the ""San Diego Comic Book Convention"".",I learned that it was originally the Empire Comic Book Convention and it was founded in 1965.,0
135,"It was founded as the Golden State Comic Book Convention in 1970 by a group of San Diegans that included Shel Dorf, Richard Alf, Ken Krueger, and Mike Towry; later, it was called the ""San Diego Comic Book Convention"".",Definitely it would be interesting. I heard Dexter will be at the next one.,0
136,"Jazz has roots in West African cultural and musical expression, and in African-American music traditions including blues and ragtime, as well as European military band music.","Plus its very cultural. It has roots in West African Culture, as well as European military culture as well.",1
137,"Jazz has roots in West African cultural and musical expression, and in African-American music traditions including blues and ragtime, as well as European military band music.","Plus its very cultural. It has roots in Europe around time, as well as in other countries as well.",0
138,"Originally, the symbol was used by World War I pilot Francesco Baracca on his airplane.",That symbol was actually used by WWI pilot Francesco Baracca!,1
139,"Originally, the symbol was used by World War I pilot Francesco Baracca on his airplane.",That symbol was actually used last a World War 1!,1
140,", Assembly, COBOL, C, C++, C#, JavaScript, Lisp, Python, Java) may be prefixed to the term programmer A programmer's primary computer language (Assembly, COBOL, C, C++, C#, Java, Lisp, Python, etc.)","It depends on how fast you can learn the languages such as COBOL, C, C++, C #, Java, Lisp, Python, etc",1
141,"A programmer's primary computer language (Assembly, COBOL, C, C++, C#, Java, Lisp, Python, etc.)","It depends on how fast you can learn the languages such as COBOL, C, NET, C, Http and more. As well as software, etc",0
142,"Slasher films are a subgenre of horror films, typically involving a violent psychopath stalking and murdering several people, usually with bladed tools.","Yes, it was a classic slasher film. I wish more were like that.",1
143,"The film combines black comedy and ""whodunit"" mystery with the violence of the slasher genre to satirize the clichés of the horror movie genre popularized in films such as Halloween (1978), Friday the 13th (1980) and Craven's own A Nightmare on Elm Street (1984)",Halloween came out in 1958 and it was also a great slasher movie.,0
