,model,grounding,generated_text,label
17,memnet,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",the term tennis is also known as lawn tennis .,0
18,dodeca,"Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.","it is an olympic sport ! poppen named it after his wife ' s friend nancy , poppen .",0
19,memnet,"Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.","it ' s also known as "" snurfer """,1
20,dodeca,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,"i know that he owns miss universe , which is a miss usa pageant .",0
21,memnet,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,"i ' m not sure , but i do know that the miss universe miss miss miss universe and miss miss world universe .",0
22,dodeca,Most adults realize that the behaviors do not make sense.,i ' m not sure . most adults don ' t realize that they have ocd .,0
23,memnet,Most adults realize that the behaviors do not make sense.,"i ' m not sure , but there are behaviors that affect behaviors .",0
24,dodeca,"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.","i would have to say paul mccartney , he was my favorite drummer .",0
25,memnet,"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.","i ' m not sure , but i do know that ringo starr began in 1962 .",1
26,dodeca,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",i think it has to do with the fact that it ' s a show that ' s been around since 2017 .,0
27,memnet,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.","i ' m not sure , but it ' s been around since 2005 .",0
28,dodeca,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,0
29,memnet,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",do you ever play the kickflip ? it was invented by rodney mullen .,1
30,dodeca,"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",have you ever seen the movie snow queen ? it ' s based on a fairy tale .,0
31,memnet,"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".","i haven ' t seen the movie , but i know it was based on the danish fairy tale by hans christian andersen .",1
32,dodeca,"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.","it started off as a newspaper , but now it ' s publishing company .",0
33,memnet,"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.","i am not sure , but it has won 122 pulitzer prizes .",1
34,dodeca,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",it is ! jamaica lies in the middle of cuba and the caribbean .,0
35,memnet,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).","i ' ve never been to jamaica , but i ' d love to visit the west of cuba .",1
36,dodeca,"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.","no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .",0
37,memnet,"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.","i ' m not sure , but they have paired organs in front of each other .",1
38,dodeca,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",0
39,memnet,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,"i ' m not sure , but they have a pelvic girdle with a pair of vestigial claws .",1
40,dodeca,"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.","oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .",0
41,memnet,"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.","i ' m not sure , but i do know they ' ve been around since 1957 .",0
42,dodeca,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",the bible is one of the most sacred texts in the bible .,0
43,memnet,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",the bible is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration,1
44,dodeca,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",i think so too . in 1997 they were sold to a company called sephornaud .,0
45,memnet,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",they have been around for over 10 years . they ' ve been around since 1997 .,0
46,dodeca,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.","i am not sure , but i know that it has the largest population in the whole world",0
47,memnet,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",it is the seventh largest country in the country .,0
48,dodeca,Finance aims to price assets based on their risk level and their expected rate of return.,i ' m not sure but i do know that finance aims for the risk level .,0
49,memnet,Finance aims to price assets based on their risk level and their expected rate of return.,risk aims to price assets based on their risk level,0
50,dodeca,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",the song was written by ken nelson in 2000 .,0
51,memnet,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).","do you like the song "" the rose "" ?",0
52,dodeca,"The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".","i ' m not sure , but the term bison burger is popular in india .",0
53,memnet,"The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".","i ' m not sure but i do know they call them "" bison burger "" .",1
54,dodeca,"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",miami is the most populated city in the state of miami,0
55,memnet,"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.","i ' m not sure , but i do know miami is the most populated city in the area .",1
56,dodeca,"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",i am not sure but i do know that it was ranked number 7 in the us in 2008,0
57,memnet,"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.","i ' m not sure , but it ' s also ranked as "" forbes cleanest city "" in 2008 .",0
58,dodeca,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",interesting . butchers have been around for a long time . they have been domesticated .,0
59,memnet,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.","yes , butchers started guilds in england as far back as 1272 .",1
60,dodeca,"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",i visited manhattan which is the largest borough of manhattan .,0
61,memnet,"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",manhattan is the most densely populated borough of manhattan .,0
62,dodeca,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",the word philately is actually a french word coined by george herpin .,0
63,memnet,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.","the word "" journalist "" is derived from the french word "" travail "" .",0
64,dodeca,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",i went to honshu which is the home island of honshu .,0
65,memnet,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.","i would love to visit the four largest islands honshu , hokkaido , kyushu , and shikoku .",1
66,dodeca,"As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.","that ' s too bad , it ' s a huge city with a population of over 305 million .",0
67,memnet,"As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.",i ' m sorry to hear that . it ' s the largest city in the country .,0
68,dodeca,"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.","yes , he was born in 1991 . the song was released in november 2014 .",0
69,memnet,"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.","i ' m not sure , but i do know that he was one of the most popular songs in the us .",0
70,dodeca,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",me too . he won an album of his own in 2015 .,0
71,memnet,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",he won a grammy award for the brit award for a few years .,0
72,dodeca,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",in both forms the arranger is the game master and the other player is the referee,0
73,memnet,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",the role of the game is played on a team .,0
74,dodeca,"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",they are stories that are about dragons and fairy tales .,0
75,memnet,"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.","i ' m not sure , but i do know that it ' s been around for a long time .",1
76,dodeca,"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",milton milton was one of my favorite confectionists .,0
77,memnet,"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",the company was founded in 1894 by milton hershey .,1
78,dodeca,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.","yeah , the 1954 models could be order in any color .",0
79,memnet,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.","i ' ve never heard of them , but i do know that they were first made in 1972 .",0
80,dodeca,"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.",i do ! i think it ' s fascinating how the early and middle ages were divided into different parts of the world .,0
81,memnet,"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.","i am not really sure , but i do know that middle middle middle ages , middle ages and middle ages",0
82,dodeca,"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).","i ' m not a huge fan , but i do know that his first novel of poetry was called jill .",0
83,memnet,"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).","i ' m not sure , but i do know that he wrote "" jill "" in 1985 .",0
84,dodeca,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",fran sinatra is a great singer . she was born in new jersey .,0
85,memnet,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.","he was born in hoboken new jersey , new jersey .",1
86,dodeca,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.",i didn ' t realize it was filmed in seattle .,0
87,memnet,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.","that ' s awesome . it ' s filmed in seattle , washington .",0
88,dodeca,"Rhazes (854 CE – 925 CE), was a Persian polymath, physician, alchemist, and philosopher who discovered numerous compounds and chemicals including ""alcohol"" by developing several chemical instruments and methods of distillation.",yes it is unhealthy . it was actually discovered by a physician named alchemist .,0
89,memnet,"Rhazes (854 CE – 925 CE), was a Persian polymath, physician, alchemist, and philosopher who discovered numerous compounds and chemicals including ""alcohol"" by developing several chemical instruments and methods of distillation.","i ' m not sure , but i do know that they have been around since 1976 .",0
90,dodeca,It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",0
91,memnet,It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,"i ' m not sure , but i do know that there are a lot of habitats that are located in north america .",0
92,dodeca,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,it is . baseball is played between 9 teams .,0
93,memnet,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,baseball is played by two teams of nine players .,1
94,dodeca,"He is known for his work in television as a cast member on ""Saturday Night Live"" and as the host of late-night talk show ""The Tonight Show Starring Jimmy Fallon"" and before that ""Late Night with Jimmy Fallon"".",jimmy fallon is one of my favorite comedians .,0
95,memnet,"He is known for his work in television as a cast member on ""Saturday Night Live"" and as the host of late-night talk show ""The Tonight Show Starring Jimmy Fallon"" and before that ""Late Night with Jimmy Fallon"".",have you ever heard of jimmy fallon ? he is a great host show .,1
96,dodeca,"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.","no , they lost 101 games and never made the playoffs .",0
97,memnet,"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.","i am not sure , but the team won the playoffs in 2001 .",0
98,dodeca,"The championship has been awarded every four years since the inaugural tournament in 1930, except in 1942 and 1946 when it was not held because of the Second World War.","yes , it has been given to every country since 1930 .",0
99,memnet,"The championship has been awarded every four years since the inaugural tournament in 1930, except in 1942 and 1946 when it was not held because of the Second World War.","i ' m not sure , but i know it ' s been around since 1935 .",0
100,dodeca,"It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.",i didn ' t know that ! it was first broadcast in 1966,0
101,memnet,"It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.","i ' m not sure , but i do know that it was originally based on 1960 ' s .",0
102,dodeca,"Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".","yes , she is . her first album was released in 2008 .",0
103,memnet,"Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".","i ' m not sure , but i do know that she gained fame in 2008 .",1
104,dodeca,It reached over 24 million units sold as of May 2006.,"well xbox live has been around since 2006 , so it must be pretty popular now .",0
105,memnet,It reached over 24 million units sold as of May 2006.,"i don ' t know , but i do know that it sold over 150 million units worldwide .",0
106,dodeca,"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.","i ' m not sure , but i do know that wall street , which is eight blocks long , is a popular tourist attraction !",0
107,memnet,"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.","i ' m not sure , but i do know that the wall wall street is a major city in the south - street .",0
108,dodeca,The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser which became extinct by crossbreeding rather than by a decadence of the breed.,they were bred from old english bulldogs and now they are extinct .,0
109,memnet,The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser which became extinct by crossbreeding rather than by a decadence of the breed.,they were bred from the old english bulldog and the bullenbeisser .,1
110,dodeca,The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,"i am not sure about that , but the united kingdom emerged in 10th century",0
111,memnet,The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,i am not sure but algeria is the 10th century in the 14th century,0
112,dodeca,Seattle () is a seaport city on the west coast of the United States.,"i ' ve never been to seattle , but i know it ' s on the east coast .",0
113,memnet,Seattle () is a seaport city on the west coast of the United States.,seattle is a seaport city located on the west coast of the united states .,1
114,dodeca,It is evoked by light with a dominant wavelength of roughly 570590 nm.,the dominant wavelength is 5 . 7 million nm .,0
115,memnet,It is evoked by light with a dominant wavelength of roughly 570590 nm.,it is evoked by light with a dominant wavelength of roughly 570590 nm .,1
116,dodeca,"Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined in 1990.","i don ' t know the name of the drummer , but i do know that they had the longest lasting drummer of all time .",0
117,memnet,"Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined in 1990.","i don ' t know much about that , but i do know that he joined the band in 2003 .",0
118,dodeca,"In the 14th century Guillaume Tirel, a court chef known as ""Taillevent"", wrote ""Le Viandier"", one of the earliest recipe collections of medieval France.","french cuisine has been around for a long time , in fact , in the 15th century , a chef from france wrote a book about it .",0
119,memnet,"In the 14th century Guillaume Tirel, a court chef known as ""Taillevent"", wrote ""Le Viandier"", one of the earliest recipe collections of medieval France.",me too ! it ' s crazy how it was used in the 14th century .,1
120,dodeca,"During that time, French cuisine was heavily influenced by Italian cuisine.",in that time italian cuisine was influenced by french cuisine,0
121,memnet,"During that time, French cuisine was heavily influenced by Italian cuisine.",italian cuisine is heavily influenced by italian cuisine and french cuisine .,0
122,dodeca,The history of surfing began with the ancient Polynesians.,"i ' m not sure about hawaii , but i know that surfing began in ancient greece .",0
123,memnet,The history of surfing began with the ancient Polynesians.,"yes , the history of surfing began with the ancient polynesians .",1
124,dodeca,"The major time divisions of Western art music are as follows:  European art music is largely distinguished from many other non-European classical and some popular musical forms by its system of staff notation, in use since about the 11th century.",european music is generally distinguished from european classical music .,0
125,memnet,"The major time divisions of Western art music are as follows:  European art music is largely distinguished from many other non-European classical and some popular musical forms by its system of staff notation, in use since about the 11th century.",classical music is one of the most popular forms of classical music .,0
126,dodeca,"Like most other mammals, cats have poorer color vision and a better sense of smell than humans.",they really do . they also have a poorer sense of smells than humans,0
127,memnet,"Like most other mammals, cats have poorer color vision and a better sense of smell than humans.","that is true , they have poorer color vision .",1
128,dodeca,"There are three main types of modern acoustic guitar: the classical guitar (nylon-string guitar), the steel-string acoustic guitar, and the archtop guitar, which is sometimes called a ""jazz guitar"".","there are actually three types of acoustic guitars : classical , nylon , and steel .",0
129,memnet,"There are three main types of modern acoustic guitar: the classical guitar (nylon-string guitar), the steel-string acoustic guitar, and the archtop guitar, which is sometimes called a ""jazz guitar"".","there are three types of acoustic guitar , the steel - string guitar , and the archtop guitar .",0
130,dodeca,The brewery itself was converted into a malted milk and near beer production facility.,i think the taste was the main reason . coors itself was turned into a beer production plant .,0
131,memnet,The brewery itself was converted into a malted milk and near beer production facility.,"i ' m not sure , but i do know that coors started production in 1885 .",0
132,dodeca,"The Boy Scouts of America (BSA), one of the largest private youth organizations in the United States, has policies which prohibit those who are not willing to subscribe to the BSA's Declaration of Religious Principle and, until January 2014, prohibited all ""known or avowed homosexuals"", from membership in its Scouting program.",boy scouts is the largest youth organization in the us .,0
133,memnet,"The Boy Scouts of America (BSA), one of the largest private youth organizations in the United States, has policies which prohibit those who are not willing to subscribe to the BSA's Declaration of Religious Principle and, until January 2014, prohibited all ""known or avowed homosexuals"", from membership in its Scouting program.",that ' s cool . they ' ve been around for a long time .,1
134,dodeca,"Set in the American South against the backdrop of the American Civil War and the Reconstruction era, the film tells the story of Scarlett O'Hara, the strong-willed daughter of a Georgia plantation owner, from her romantic pursuit of Ashley Wilkes, who is married to his cousin, Melanie Hamilton, to her marriage to Rhett Butler.","well , it ' s about scarlett o hara , a strong willed daughter and a plantation owner",0
135,memnet,"Set in the American South against the backdrop of the American Civil War and the Reconstruction era, the film tells the story of Scarlett O'Hara, the strong-willed daughter of a Georgia plantation owner, from her romantic pursuit of Ashley Wilkes, who is married to his cousin, Melanie Hamilton, to her marriage to Rhett Butler.",it was set in the south of the american civil war .,1
136,dodeca,"It followed the interstellar adventures of Captain James T. Kirk (William Shatner) and his crew aboard the starship USS ""Enterprise"", a space exploration vessel, built by the United Federation of Planets in the twenty-third century.",i remember watching it when it first came out in the 20 ' s,0
137,memnet,"It followed the interstellar adventures of Captain James T. Kirk (William Shatner) and his crew aboard the starship USS ""Enterprise"", a space exploration vessel, built by the United Federation of Planets in the twenty-third century.",it was created by william shatner and william shatner .,0
138,dodeca,"An iPhone can shoot video (though this was not a standard feature until the iPhone 3GS), take photos, play music, send and receive email, browse the web, send and receive text messages, follow GPS navigation, record notes, perform mathematical calculations, and receive visual voicemail.","i ' m not sure , but i do know that it ' s been around since the 3gs !",0
139,memnet,"An iPhone can shoot video (though this was not a standard feature until the iPhone 3GS), take photos, play music, send and receive email, browse the web, send and receive text messages, follow GPS navigation, record notes, perform mathematical calculations, and receive visual voicemail.","i ' m not sure , but i know it ' s been around since the late 2000 ' s .",1
140,dodeca,"Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.","i know , right ? it ' s hard to remember most of their songs . they were actually a producer and producer of george martin ' s recordings .",0
141,memnet,"Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.","their first hit "" love me me do "" , love me do you like them ?",0
142,dodeca,"The drink Pepsi was first introduced as ""Brad's Drink"" in New Bern, North Carolina, United States, in 1893 by Caleb Bradham, who made it at his drugstore where the drink was sold.",i like diet coke better too . i think it was first made in 1893 .,0
143,memnet,"The drink Pepsi was first introduced as ""Brad's Drink"" in New Bern, North Carolina, United States, in 1893 by Caleb Bradham, who made it at his drugstore where the drink was sold.",it was first introduced in 1893 by caleb bradham .,1
144,dodeca,"The band emerged with a heavy metal sound on their first studio album, ""Undertow"" (1993), and later became a dominant act in the alternative metal movement, with the release of their second album, ""Ænima"" in 1996.",they are one of the most popular bands of all time . their first album was called undertow .,0
145,memnet,"The band emerged with a heavy metal sound on their first studio album, ""Undertow"" (1993), and later became a dominant act in the alternative metal movement, with the release of their second album, ""Ænima"" in 1996.","i ' m not sure , but their first album was released in 1998 .",0
146,dodeca,About two-thirds of Florida occupies a peninsula between the Gulf of Mexico and the Atlantic Ocean.,"i ' m not sure about that , but i do know that there are about 2 - 3 million people in florida !",0
147,memnet,About two-thirds of Florida occupies a peninsula between the Gulf of Mexico and the Atlantic Ocean.,"i ' m not sure , but florida has a lot of coastline on the gulf of mexico .",1
148,dodeca,"Karate schools began appearing across the world, catering to those with casual interest as well as those seeking a deeper study of the art.",wow that ' s a lot of karate schools . they started appearing in the us and europe .,0
149,memnet,"Karate schools began appearing across the world, catering to those with casual interest as well as those seeking a deeper study of the art.","i ' m not sure , but i do know that it ' s been around since the 19th century .",0
150,dodeca,"Alpacas are similar to llamas, and are often confused with them.","they are very similar to a llama , and often confuse them .",0
151,memnet,"Alpacas are similar to llamas, and are often confused with them.",alpacas are similar to llamas . they are often confused with llamas .,1
152,dodeca,"Due to the popularity of both commercial and homemade dog foods, nutrition is also a heavily studied subject.",that ' s good to hear . i ' ve heard that nutrition is a big part of their popularity .,0
153,memnet,"Due to the popularity of both commercial and homemade dog foods, nutrition is also a heavily studied subject.","i ' m not sure , but i do know that there are so many health benefits .",0
154,dodeca,"The first championships was held three years after the establishment of FIBA, in 1935.",the first championship was held in 1935 in fiba .,0
155,memnet,"The first championships was held three years after the establishment of FIBA, in 1935.","i ' m not sure , but it was first held in 1935 .",1
156,dodeca,They can see in near darkness.,"i ' m not sure , but i do know that they can be seen in close darkness .",0
157,memnet,They can see in near darkness.,i ' m not sure but they can see in near darkness .,1
158,dodeca,"The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.","there are five boroughs of manhattan , brooklyn , manhattan",0
