,hash,model,grounding,generated_text,label
10,35424211,PtGen,"Clarkson, 30, joined Premiership Well for a second spell in July and could make his St Mirren debut in the Championship against Alloa on Saturday.He scored nine goals at Dundee last season and has featured mainly as a substitute so far this term.""I'm ready, I've been fit all season and I'm as fit as I've ever been,"" Clarkson told the St Mirren website.""I've been playing games, playing for the U20s and I like to keep my match fitness up.""I've been training hard and making sure that when my time came, wherever it may be, that I was ready and match fit and hopefully up to speed with everyone else really. I'm looking forward to getting started.""Capped twice for Scotland in 2008 and with one international goal to his name, Clarkson has made almost 400 senior appearances at club level.His previous teams include Bristol City, Brentford and Bristol Rovers.St Mirren are eighth in the Championship, seven points clear of bottom side Alloa.""Obviously the game on Saturday, every game is a big game, and the more games we can win the more confidence we can get from that we can hopefully go on a run of games and push up the table and try to get the club back to where it has been,"" added Clarkson.For all the latest transfers check out our transfer deals page.","st mirren have signed st mirren midfielder jack clarkson on loan until the end of the season, with the option of a further 12 months.",0
11,35424211,TranS2S,"Clarkson, 30, joined Premiership Well for a second spell in July and could make his St Mirren debut in the Championship against Alloa on Saturday.He scored nine goals at Dundee last season and has featured mainly as a substitute so far this term.""I'm ready, I've been fit all season and I'm as fit as I've ever been,"" Clarkson told the St Mirren website.""I've been playing games, playing for the U20s and I like to keep my match fitness up.""I've been training hard and making sure that when my time came, wherever it may be, that I was ready and match fit and hopefully up to speed with everyone else really. I'm looking forward to getting started.""Capped twice for Scotland in 2008 and with one international goal to his name, Clarkson has made almost 400 senior appearances at club level.His previous teams include Bristol City, Brentford and Bristol Rovers.St Mirren are eighth in the Championship, seven points clear of bottom side Alloa.""Obviously the game on Saturday, every game is a big game, and the more games we can win the more confidence we can get from that we can hopefully go on a run of games and push up the table and try to get the club back to where it has been,"" added Clarkson.For all the latest transfers check out our transfer deals page.",bristol rovers have signed striker jeremy clarkson on loan from brentford until the end of the season.,0
12,37429966,BERTS2S,"The turkey firm was sold to the food tycoon Ranjit Boparan on Tuesday.There had been fears that the new owners would not take on the existing workers' pension scheme.But Unite regional officer Steve Harley said: ""We had productive talks and we were given guarantees that all current agreements will be honoured.""Unite said it understood that the Bernard Matthews final salary pension scheme was closed in 2004 and that its members presently have an alternative pension scheme which is unaffected the takeover.The Boparan Private Office, the ""chicken king"" Mr Boparan's private investment, confirmed that the current pension arrangements with Bernard Matthews would continue under the new ownership.Mr Harley met with representatives from Boparan at the Great Witchingham headquarters.He said: ""It was made clear that the new owner wishes to restore Bernard Matthews to its former position as a highly profitable business.""This would be achieved by greater investment in the business, cost savings and utilising the present spare capacity at Bernard Matthews to process chicken and not just turkeys.""","the new owners of bernard matthews have said they are "" confident "" a new pension pension scheme will be changed.",0
13,37429966,TConvS2S,"The turkey firm was sold to the food tycoon Ranjit Boparan on Tuesday.There had been fears that the new owners would not take on the existing workers' pension scheme.But Unite regional officer Steve Harley said: ""We had productive talks and we were given guarantees that all current agreements will be honoured.""Unite said it understood that the Bernard Matthews final salary pension scheme was closed in 2004 and that its members presently have an alternative pension scheme which is unaffected the takeover.The Boparan Private Office, the ""chicken king"" Mr Boparan's private investment, confirmed that the current pension arrangements with Bernard Matthews would continue under the new ownership.Mr Harley met with representatives from Boparan at the Great Witchingham headquarters.He said: ""It was made clear that the new owner wishes to restore Bernard Matthews to its former position as a highly profitable business.""This would be achieved by greater investment in the business, cost savings and utilising the present spare capacity at Bernard Matthews to process chicken and not just turkeys.""",the new owners of the bernard matthews have said they are ``dismayed\'\'that a new pension scheme will be held in the uk.,0
14,37429966,PtGen,"The turkey firm was sold to the food tycoon Ranjit Boparan on Tuesday.There had been fears that the new owners would not take on the existing workers' pension scheme.But Unite regional officer Steve Harley said: ""We had productive talks and we were given guarantees that all current agreements will be honoured.""Unite said it understood that the Bernard Matthews final salary pension scheme was closed in 2004 and that its members presently have an alternative pension scheme which is unaffected the takeover.The Boparan Private Office, the ""chicken king"" Mr Boparan's private investment, confirmed that the current pension arrangements with Bernard Matthews would continue under the new ownership.Mr Harley met with representatives from Boparan at the Great Witchingham headquarters.He said: ""It was made clear that the new owner wishes to restore Bernard Matthews to its former position as a highly profitable business.""This would be achieved by greater investment in the business, cost savings and utilising the present spare capacity at Bernard Matthews to process chicken and not just turkeys.""",a new pension scheme to restore bernard matthews\'s chicken and chicken has been given guarantees by the unite union.,0
15,37429966,TranS2S,"The turkey firm was sold to the food tycoon Ranjit Boparan on Tuesday.There had been fears that the new owners would not take on the existing workers' pension scheme.But Unite regional officer Steve Harley said: ""We had productive talks and we were given guarantees that all current agreements will be honoured.""Unite said it understood that the Bernard Matthews final salary pension scheme was closed in 2004 and that its members presently have an alternative pension scheme which is unaffected the takeover.The Boparan Private Office, the ""chicken king"" Mr Boparan's private investment, confirmed that the current pension arrangements with Bernard Matthews would continue under the new ownership.Mr Harley met with representatives from Boparan at the Great Witchingham headquarters.He said: ""It was made clear that the new owner wishes to restore Bernard Matthews to its former position as a highly profitable business.""This would be achieved by greater investment in the business, cost savings and utilising the present spare capacity at Bernard Matthews to process chicken and not just turkeys.""",the turkey co-founder bernard matthews has been given the green light by the unite union.,0
16,40267739,BERTS2S,"The call was made at a scrutiny meeting of the council to discuss the problems surrounding the new vessel.Council leader Dave Stewart said the crossing at Cowes would be free until 2 July ""in recognition of the problems"" and to allow feedback.Mr Stewart said the council had ordered a review of the project by auditors.He said it had been a ""frustrating and disappointing start"" to the ferry.Since launching late on 14 May the chain ferry has broken down, run aground and been suspended by the Maritime and Coastguard Agency due to ""training issues"".Cars have also been damaged getting on and off.Shopkeeper Angie Booth, who owns Valu-4-U in East Cowes, said: ""Whether I come out of this and survive I am not sure - other businesses too. We are bearing the brunt of the loss of almost six months of trade.""Will you compensate local businesses, the same as for damaged cars?""Transport councillor Ian Ward said compensation was up for discussion.He added: ""I don't think it's a disaster. It's a prototype. There are bound to be teething problems. There were electrical problems which the company has rectified.""He said the council authorised the manufacture of ramp extensions to resolve the problem of vehicles scraping the concrete.He said groundings were an issue with seamanship, which had been resolved.","businesses and businesses on the isle of wight are to be allowed to free up the new chain ferry, the council has said.",0
17,40267739,TConvS2S,"The call was made at a scrutiny meeting of the council to discuss the problems surrounding the new vessel.Council leader Dave Stewart said the crossing at Cowes would be free until 2 July ""in recognition of the problems"" and to allow feedback.Mr Stewart said the council had ordered a review of the project by auditors.He said it had been a ""frustrating and disappointing start"" to the ferry.Since launching late on 14 May the chain ferry has broken down, run aground and been suspended by the Maritime and Coastguard Agency due to ""training issues"".Cars have also been damaged getting on and off.Shopkeeper Angie Booth, who owns Valu-4-U in East Cowes, said: ""Whether I come out of this and survive I am not sure - other businesses too. We are bearing the brunt of the loss of almost six months of trade.""Will you compensate local businesses, the same as for damaged cars?""Transport councillor Ian Ward said compensation was up for discussion.He added: ""I don't think it's a disaster. It's a prototype. There are bound to be teething problems. There were electrical problems which the company has rectified.""He said the council authorised the manufacture of ramp extensions to resolve the problem of vehicles scraping the concrete.He said groundings were an issue with seamanship, which had been resolved.",a row has broken out between the isle of wight\'s troubled ferry service.,0
18,40267739,PtGen,"The call was made at a scrutiny meeting of the council to discuss the problems surrounding the new vessel.Council leader Dave Stewart said the crossing at Cowes would be free until 2 July ""in recognition of the problems"" and to allow feedback.Mr Stewart said the council had ordered a review of the project by auditors.He said it had been a ""frustrating and disappointing start"" to the ferry.Since launching late on 14 May the chain ferry has broken down, run aground and been suspended by the Maritime and Coastguard Agency due to ""training issues"".Cars have also been damaged getting on and off.Shopkeeper Angie Booth, who owns Valu-4-U in East Cowes, said: ""Whether I come out of this and survive I am not sure - other businesses too. We are bearing the brunt of the loss of almost six months of trade.""Will you compensate local businesses, the same as for damaged cars?""Transport councillor Ian Ward said compensation was up for discussion.He added: ""I don't think it's a disaster. It's a prototype. There are bound to be teething problems. There were electrical problems which the company has rectified.""He said the council authorised the manufacture of ramp extensions to resolve the problem of vehicles scraping the concrete.He said groundings were an issue with seamanship, which had been resolved.","a maritime attraction has been cancelled due to a lack of funds, it has been claimed at the centre of a public inquiry.",0
19,40267739,TranS2S,"The call was made at a scrutiny meeting of the council to discuss the problems surrounding the new vessel.Council leader Dave Stewart said the crossing at Cowes would be free until 2 July ""in recognition of the problems"" and to allow feedback.Mr Stewart said the council had ordered a review of the project by auditors.He said it had been a ""frustrating and disappointing start"" to the ferry.Since launching late on 14 May the chain ferry has broken down, run aground and been suspended by the Maritime and Coastguard Agency due to ""training issues"".Cars have also been damaged getting on and off.Shopkeeper Angie Booth, who owns Valu-4-U in East Cowes, said: ""Whether I come out of this and survive I am not sure - other businesses too. We are bearing the brunt of the loss of almost six months of trade.""Will you compensate local businesses, the same as for damaged cars?""Transport councillor Ian Ward said compensation was up for discussion.He added: ""I don't think it's a disaster. It's a prototype. There are bound to be teething problems. There were electrical problems which the company has rectified.""He said the council authorised the manufacture of ramp extensions to resolve the problem of vehicles scraping the concrete.He said groundings were an issue with seamanship, which had been resolved.","isle of wight council leader andrew cowes has said he is "" disappointed "" a meeting with the council leader has been suspended.",0
20,38345826,BERTS2S,"It also warns that Britain may have to allow EU-registered boats to fish in UK waters as part of an overall deal.Fishing regions around the UK voted heavily in favour of leaving the EU during the referendum campaign.The Lords review says these communities are at risk of being marginalised in the wider Brexit negotiations.The EU's Common Fisheries Policy (CFP), with its quotas and principle of equal access to commercial fishing grounds for boats from all member states, has often been characterised by the industry as a disaster for Britain.This dislike helped mobilise many in the industry to campaign for a leave vote in the referendum last June.Many in the fishing community argue that Brexit now offers the industry the chance to regain control over UK waters and become a leading fish-exporting nation, like Norway.However, the House of Lords European Union Committee has released a report that looks at the risks and opportunities for the UK industry.Since UK fishing only produces a half of one percent of GDP and employs just 12,000 fishers, the Lords say that industry might be a low priority for the government but it ""must not be marginalised in the wider Brexit negotiations"".What complicates the picture is the fact the most commercial fish stocks are in waters that are shared between the UK and other EU coastal states. The vast majority of UK fish are exported, mainly to the EU while a significant proportion of the fish that British consumers eat is imported, often from EU states.""A successful industry,"" the report says, ""therefore needs continued market access.""However, that access may come at a price.""Brexit will involve many trade-offs,"" said Lord Teverson who chairs the Lords EU Energy and Environment sub-committee.""It may very well be that EU member states demand more access to UK waters than some fishers would want in return for our continued rights to sell fish to the European market with zero tariffs.""The report also points to the fact that many elements of the CFP should be retained post-Brexit and the UK should ensure that total allowable catches and quotas should continue to be based on scientific advice. The UK will also continue to be under international obligations to co-operate with neighbouring states.One area of concern, according to the report, may well be that if Britain leaves the EU, the CFP framework which treats the UK as one entity will fall away ""raising the potential of four different fisheries management regimes"" in England, Wales, Northern Ireland and Scotland.However, many in the fishing industry still argue that Brexit will bring more opportunities than threats.Just this week, the EU announced agreement on new quotas under the CFP - many analysts say that it marked an advance for the UK with significant increases in allowable catches for plaice, haddock and prawns.Responding to the new quotas, representatives from the industry said they believed this augurs well for the future of British fishing outside the EU.""With Brexit now looming, fishermen can look to the future with real optimism as we are on the cusp of an exciting new era as a coastal state with full control of our 200-mile exclusive economic zone,"" Bertie Armstrong, chief executive of the Scottish Fishermen's Federation said in a statement.""This will give us the opportunity for fairer shares in catching opportunity and better fit-for-purpose sustainable fisheries management, which will benefit our coastal communities.""In response to the report, a government spokesperson said: ""As we enter the EU negotiations, the prime minister has been clear we want to ensure British companies have the maximum freedom to trade with and operate in the single market.""""At the same time, leaving the EU is a real opportunity to review fisheries management in order to ensure fair access to quota, sustainable stocks and a healthy marine environment.""Follow Matt on Twitter and on Facebook","the uk\'s fishing industry risks losing access to the european union after brexit, a house of lords report says.",1
